ticket_id,customer_message,category,priority,suggested_response
1,"""I can't log into my account.""",Technical,High,"""Please try resetting your password here."""
2,"""My payment didn't go through.""",Billing,High,"""Please verify your payment details and try again."""
3,"""I want to upgrade my subscription.""",Billing,Medium,"""Here's how you can upgrade your plan."""
4,"""I received a broken product.""",Support,High,"""We apologize. Please request a replacement via your order page."""
5,"""How do I change my email address?""",Technical,Medium,"""Go to account settings to update your email."""
6,"""Your website is very slow.""",Technical,Medium,"""We are working on improving performance. Thank you for your patience."""
7,"""I love your service!""",Feedback,Low,"""Thank you for your kind words!"""
8,"""Please cancel my subscription.""",Billing,Medium,"""Your subscription has been canceled as requested."""
9,"""I can't download my invoice.""",Support,Medium,"""Invoices can be downloaded from your account page."""
10,"""I forgot my password.""",Technical,High,"""Please use the password reset link to create a new password."""
11,"""Do you offer student discounts?""",Sales,Low,"""Yes! Here are the details on our student discount plans."""
12,"""I received the wrong item in my order.""",Support,High,"""We apologize. Please request a replacement or refund."""
13,"""How can I delete my account?""",Technical,High,"""Go to account settings to delete your account."""
14,"""Your support team is very helpful.""",Feedback,Low,"""Thank you for your feedback!"""
15,"""I can't find my order confirmation email.""",Support,Medium,"""Please check your spam folder or contact support."""
16,"""Do you provide API access?""",Sales,Low,"""Yes, here is the documentation to get started."""
17,"""I was double-charged for my subscription.""",Billing,High,"""We will refund the extra charge immediately."""
18,"""How can I track my shipment?""",Support,Medium,"""You can track your shipment via your order page."""
19,"""Your mobile app keeps crashing.""",Technical,High,"""Please update the app to the latest version or reinstall it."""
20,"""Can I change my plan mid-cycle?""",Billing,Medium,"""Yes, you can upgrade or downgrade your plan anytime."""
21,"""I want to provide product feedback.""",Feedback,Low,"""Thank you! Please fill out our feedback form."""
22,"""How do I reset my two-factor authentication?""",Technical,High,"""Follow these steps to reset your two-factor authentication."""
23,"""I was charged the wrong amount.""",Billing,High,"""We apologize. The correct amount will be charged and the difference refunded."""
24,"""Your website shows an error when I login.""",Technical,High,"""We are aware of the issue and are working on a fix."""
25,"""How do I request a refund?""",Support,Medium,"""Refund requests can be submitted via your order history page."""
26,"""Can I change my delivery address after ordering?""",Support,Medium,"""Yes, if the order hasn't shipped yet, you can update the address."""
27,"""I want to report a bug in your app.""",Technical,Medium,"""Please submit a bug report through our support portal."""
28,"""Do you offer gift cards?""",Sales,Low,"""Yes, here are the details for purchasing gift cards."""
29,"""My subscription was canceled without notice.""",Billing,High,"""We apologize. Your subscription will be reinstated immediately."""
30,"""Can I get a discount for annual billing?""",Sales,Low,"""Yes! Here's the discount for annual subscriptions."""
31,"""How do I update my billing information?""",Billing,Medium,"""Go to billing settings to update your payment details."""
32,"""I received a defective item.""",Support,High,"""We apologize. Please request a replacement."""
33,"""I can't upload my profile picture.""",Technical,Medium,"""Please make sure your image meets the size requirements."""
34,"""How do I enable notifications?""",Technical,Medium,"""Go to settings and toggle notifications on."""
35,"""Your service exceeded my expectations!""",Feedback,Low,"""Thank you for your wonderful feedback!"""
36,"""I want to downgrade my subscription.""",Billing,Medium,"""You can downgrade from your account settings."""
37,"""My promo code isn’t working.""",Billing,Medium,"""Please check the promo code terms and try again."""
38,"""Do you have tutorials for beginners?""",Support,Low,"""Yes! Here's a link to our beginner tutorials."""
39,"""I am having trouble with payment verification.""",Billing,High,"""Please verify your card details or try a different payment method."""
40,"""Can I merge two accounts?""",Technical,Medium,"""Currently, merging accounts is not supported, but you can export data."""
41,"""I accidentally canceled my subscription.""",Billing,High,"""We can reinstate your subscription immediately."""
42,"""I can’t access premium features.""",Technical,Medium,"""Please check if your subscription is active."""
43,"""Can I get a refund for my last purchase?""",Billing,High,"""Refund request submitted. Amount will be credited shortly."""
44,"""How do I change my password?""",Technical,Medium,"""Go to account settings to change your password."""
45,"""I want to suggest a new feature.""",Feedback,Low,"""Thank you! Please submit your feature suggestion here."""
46,"""My app subscription didn’t renew.""",Billing,High,"""We will reactivate your subscription and ensure it renews correctly."""
47,"""I can’t find your FAQ section.""",Support,Low,"""Here's the link to our FAQ section."""
48,"""How do I report suspicious activity?""",Support,High,"""Please contact support immediately to report it."""
49,"""Your service fees are unclear.""",Billing,Medium,"""Here is a detailed breakdown of all fees."""
50,"""I want to close my account permanently.""",Technical,High,"""Go to account settings to permanently close your account."""
