customer_message,category,priority,suggested_response
I love your service!,Feedback,Low,Thank you for your feedback!
Thanks for the support!,Support,Medium,We are looking into your issue. Support will contact you soon.
I love your service!,Feedback,Low,Thanks! Your suggestions help us improve.
The app is very slow today.,Support,Medium,"Your request has been received, and we're on it."
I can't log into my account.,Technical,High,Ensure your app is updated to the latest version.
I can't log into my account.,Technical,High,Please reset your password using the reset link.
I want to cancel my subscription.,Billing,High,"Your subscription charge has been adjusted, check your account."
I want to cancel my subscription.,Billing,High,Please verify your payment details or contact support.
I can't log into my account.,Technical,High,Ensure your app is updated to the latest version.
I can't log into my account.,Technical,High,"Try logging out and back in, this often resolves the issue."
Thanks for the support!,Support,Medium,"Your request has been received, and we're on it."
Cannot access my dashboard.,Technical,High,Ensure your app is updated to the latest version.
I want to cancel my subscription.,Billing,High,Refund requests can be submitted via your order page.
I want to cancel my subscription.,Billing,High,Ensure your billing info is up-to-date to avoid issues.
Cannot access my dashboard.,Technical,High,Ensure your app is updated to the latest version.
App keeps crashing.,Support,Medium,Please provide more details so we can help you faster.
The app is very slow today.,Support,Medium,"Your request has been received, and we're on it."
Cannot access my dashboard.,Technical,High,Follow the steps in our help center to fix this issue.
App keeps crashing.,Support,Medium,Check our FAQ section; your answer might be there.
Please refund my last payment.,Billing,High,Please verify your payment details or contact support.
Cannot access my dashboard.,Technical,High,Ensure your app is updated to the latest version.
The app is very slow today.,Support,Medium,"Your request has been received, and we're on it."
The app is very slow today.,Support,Medium,"Your request has been received, and we're on it."
Please refund my last payment.,Billing,High,Ensure your billing info is up-to-date to avoid issues.
The app is very slow today.,Support,Medium,We are looking into your issue. Support will contact you soon.
Please refund my last payment.,Billing,High,"Your subscription charge has been adjusted, check your account."
"My payment failed, need help.",Billing,High,Refund requests can be submitted via your order page.
How do I change my subscription?,Billing,High,Please verify your payment details or contact support.
How do I change my subscription?,Billing,High,Ensure your billing info is up-to-date to avoid issues.
I can't log into my account.,Technical,High,Please reset your password using the reset link.
App keeps crashing.,Support,Medium,We are looking into your issue. Support will contact you soon.
I want to cancel my subscription.,Billing,High,Please verify your payment details or contact support.
Cannot access my dashboard.,Technical,High,"Try logging out and back in, this often resolves the issue."
I want to cancel my subscription.,Billing,High,Refund requests can be submitted via your order page.
Cannot access my dashboard.,Technical,High,Ensure your app is updated to the latest version.
I want to cancel my subscription.,Billing,High,Refund requests can be submitted via your order page.
"My payment failed, need help.",Billing,High,"Your subscription charge has been adjusted, check your account."
How do I change my subscription?,Billing,High,"Your subscription charge has been adjusted, check your account."
How do I change my subscription?,Billing,High,Please verify your payment details or contact support.
Cannot access my dashboard.,Technical,High,Follow the steps in our help center to fix this issue.
I love your service!,Feedback,Low,We appreciate your input and will consider it.
I can't log into my account.,Technical,High,Follow the steps in our help center to fix this issue.
Thanks for the support!,Support,Medium,Check our FAQ section; your answer might be there.
How do I change my subscription?,Billing,High,Refund requests can be submitted via your order page.
Thanks for the support!,Support,Medium,We are looking into your issue. Support will contact you soon.
Cannot access my dashboard.,Technical,High,"Try logging out and back in, this often resolves the issue."
I want to cancel my subscription.,Billing,High,Ensure your billing info is up-to-date to avoid issues.
I can't log into my account.,Technical,High,Ensure your app is updated to the latest version.
Thanks for the support!,Support,Medium,Check our FAQ section; your answer might be there.
The app is very slow today.,Support,Medium,"Your request has been received, and we're on it."
